"SEGMENTID","STREET","DIRECTION","FROM_STREET","TO_STREET","LENGTH"," STREET_HEADING"," CURRENT_SPEED"," LAST_UPDATED"
"1048","Warren","EB","Western","Damen","0.5","W","-1","2011-10-28 14:10:51.0"
"475","95th","WB","Baltimore","Torrence","0.59","E","-1","2010-07-21 14:50:48.0"
"992","Touhy","EB","Dee Rd","Northwest Hwy","1.33","W","-1","2010-07-21 14:51:07.0"
"1278","Columbus","NB","Congress","Randolph","0.59","S","-1","2011-08-10 00:00:00.0"
"661","Congress","WB","Columbus","Michigan","0.18","E","-1","2010-07-21 14:50:44.0"
"1015","Touhy","WB","Edens Expy","Lehigh","1.17","W","-1","2010-07-21 14:50:53.0"
"1076","95th","WB","Southwest Hwy","Ridgeland","0.596381306374","W","-1","2010-07-21 14:51:03.0"
"1075","95th","WB","Ridgeland","Harlem","0.966706481618","W","-1","2010-07-21 14:51:03.0"
"965","Pershing","EB","Archer","Western","0.25","W","-1","2010-07-21 14:51:01.0"
"1016","Touhy","WB","Pulaski","Edens Expy","1.12","W","-1","2010-07-21 14:50:53.0"
"820","Torrence","NB","122ND","112th","1.25","S","-1","2010-07-21 14:50:57.0"
"747","Elston","SE","Laramie","Cicero","0.66","N","-1","2010-07-21 14:50:53.0"
"1073","95th","EB","Central","Cicero","1.01087096799","W","-1","2010-07-21 14:51:03.0"
"1156","Harlem","SB","71st","79th","0.998187349343","S","-1","2010-07-21 14:51:14.0"
"959","Ontario","WB","Lake Shore Dr","Fairbanks","0.27","E","-1","2010-07-21 14:51:01.0"
"681","Desplaines","SB","Harrison","Roosevelt","0.5","S","-1","2010-07-21 14:50:44.0"
"437","31st","WB","Dr Martin L King Jr","State","0.48","E","-1","2010-07-21 14:51:09.0"
"1071","95th","EB","Ridgeland","Southwest Hwy","0.596381306374","W","-1","2010-07-21 14:51:03.0"
"1080","127th","EB","I-57 Expy","Halsted","1.09593318122","W","-1","2010-07-21 14:51:03.0"
"1159","Harlem","SB","63rd","6700 South","0.237664114918","S","-1","2010-07-21 14:51:14.0"
"672","Cumberland","SB","Lawrence","Montrose","0.5","N","-1","2010-07-21 14:50:44.0"
"818","Torrence","NB","130th","126TH PL","0.48","S","-1","2010-07-21 14:50:57.0"
"1169","Harlem","SB","Madison","I-290 Expy","0.417640777652","S","-1","2010-07-21 14:51:12.0"
"1092","Cicero","NB","I-294 Expy","111th","1.93642552555","S","-1","2010-07-21 14:51:04.0"
"1145","Harlem","NB","Pershing","Ogden","0.173022844032","S","-1","2010-07-21 14:51:14.0"
"995","Touhy","EB","Harlem","Milwaukee","0.27","W","-1","2010-07-21 14:51:07.0"
"958","Ohio","EB","Fairbanks","Lake Shore Dr","0.29","E","-1","2011-08-02 14:21:11.0"
"754","Indianapolis","SB","Ewing","106TH","0.89","S","-1","2010-07-21 14:50:53.0"
"1108","IL-171","WB","Archer","I-55 Expy","0.587255391559","W","-1","2010-07-21 14:51:05.0"
